Tissue,Disease,Species,symbol,ID,Type,Expression,Target,Pathway,Function,PMID,Title,Year
heart,atrial_fibrillation,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,MIR-133A-3P,NA,Atrial fibrillation(AF)-induced myocardial fibrosis. and the functional regulatory pathway of Miat targeting miR-133a-3p.,32130618,LncRNA MIAT/miR-133a-3p axis regulates atrial fibrillation and atrial fibrillation-induced myocardial fibrosis,2020
heart,myocardial_infarction,mus_musculus,Mirt1,ENSMUSG00000097636,lncrna,down-regulation,NA,NF-KAPPA B SIGNALING PATHWAY,Down-regulation of miRt1 improves myocardial i/r injury in aged diabetic rats by inhibition of activation of NF-KB signaling pathway.,30611788,Down-regulation of myocardial infarction associated transcript 1 improves myocardial ischemia-reperfusion injury in aged diabetic rats by inhibition of activation of NF-KB signaling pathway,2019
heart,endomyocardial_fibrosis,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,down-regulation,PTEN-MMP2,PI3K-AKT SIGNALING PATHWAY,Gas5 plays a suppressive role in cardiac fibrosis via negative regulation of miR-21. Gas5 that upregulated or downregulated the expression of PTEN through miR-21 in cardiac fibroblasts.,28526319,LncRNA GAS5 controls cardiac fibroblast activation and fibrosis by targeting miR-21 via PTEN/MMP-2 signaling pathway,2017
heart,endomyocardial_fibrosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,DUSP5,MAPK SIGNALING PATHWAY,H19 endogenous expression is overexpressed in cardiac fibroblast and fibrosis tissues. and an opposite pattern is observed for Dusp5. H19 ectopic overexpression reduces Dusp5 abundance and increases the proliferation of cardiac fibroblast. whereas h19 silencing causes the opposite effects.,27318893,Long noncoding RNA H19 controls DUSP5/ERK1/2 axis in cardiac fibroblast proliferation and fibrosis,2016
heart,endomyocardial_fibrosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,CTGF,NA,H19 knockdown could enhance the antifibrotic role of miR-455 and attenuate the CTGF expression and further decrease fibrosis-associated protein synthesis (collagen i. iii. and alfa-SMA).,28753062,Long Noncoding RNA H19 Acts as a Competing Endogenous RNA to Mediate CTGF Expression by Sponging miR-455 in Cardiac Fibrosis,2017
heart,heart_failure,mus_musculus,Kcnq1ot1,ENSMUSG00000101609,lncrna,down-regulation,FUS,NA,Kcnq1ot1 ovexpression improved myocardial histopathological changes. reduced myocardial fibrosis areas. down-regulated FUS expression. and inhibited cell apoptosis of heart failure(HF) mice.,32497620,LncRNA KCNQ1OT1 contributes to cardiomyocyte apoptosis by targeting FUS in heart failure,2020
heart,diabetic_cardiomyopathy,mus_musculus,Kcnq1ot1,ENSMUSG00000101609,lncrna,up-regulation,NA,NOD-LIKE RECEPTOR SIGNALING PATHWAY,Kcnq1ot1/miR-214-3p/caspase-1/TGF-beta signal pathway presents a new mechanism of diabetes cardiomyopathy (DCM) progression and could potentially be a novel therapeutic target.,30250027,Silencing long non-coding RNA Kcnq1ot1 alleviates pyroptosis and fibrosis in diabetic cardiomyopathy,2018
heart,endomyocardial_fibrosis,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,"MIR-24,FURIN",TGF-BETA SIGNALING PATHWAY,Knockdown of endogenous miat by its sirna reduced cardiac fibrosis and improved cardiac function and restored the deregulated expression of the fibrosis-related regulators.,28198439,MIAT Is a Pro-fibrotic Long Noncoding RNA Governing Cardiac Fibrosis in Post-infarct Myocardium,2016
heart,cardiovascular_diseases,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,up-regulation,MIRI,PI3K-AKT SIGNALING PATHWAY,Lncrna gas5 was able to regulate miRNA through the PI3k/Akt apoptosis pathway by sponging miR-532-5p.,31985016,Long non-coding RNA GAS5 regulates myocardial ischemia-reperfusion injury through the PI3K/AKT apoptosis pathway by sponging miR-532-5p,2020
heart,myocardial_infarction,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,MIR-145,TGF-BETA SIGNALING PATHWAY,Lncrna malat1 promotes cardiac fibrosis and deteriorates cardiac function post-myocardial infarction (MI) by regulating TGF-beta activity via miR-145.,30146700,Long noncoding RNA MALAT1 mediates cardiac fibrosis in experimental postinfarct myocardium mice model,2019
